,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
21,ChEMBL,assays_both_50_30_ac2_av,Semantically-Joinable,1.0,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'description', 'tissue_id', 'variant_id', 'tid', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['ASI', 'CHI', 'Descri', 'Ti', 'TISI', 'ASSCTY', 'CI', 'BAFO', 'CONFISC', 'RELAT', 'ASSSUBCELFR', 'CUB', 'SRI']",,0.75,0.6,1.0
31,ChEMBL,assays_both_50_30_ec_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","['assay_id', 'assay_test_type', 'curated_by', 'confidence_score', 'cell_id', 'bao_format', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['chembl_id', 'assay_id', 'tid', 'tissue_id', 'assay_cell_type', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'curated_by', 'assay_test_type', 'src_id']",0 days 00:01:20.318953,0.75,1.0,0.6
33,ChEMBL,assays_both_50_70_ac3_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'confidence_score', 'description', 'assay_organism', 'assay_strain', 'variant_id', 'assay_tissue', 'tissue_id', 'cell_id', 'src_id', 'assay_tax_id', 'assay_type', 'chembl_id', 'tid', 'assay_category', 'doc_id', 'assay_test_type', 'assay_cell_type']","['chmbl_d', 'ss_d', 'dscrptn', 'td', 'ss_rgnsm', 'ss_tx_d', 'tss_d', 'ss_tss', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'crtd_b', 'ss_sbclllr_frctn', 'ss_strn', 'src_d']",,0.13,0.07,1.0
36,ChEMBL,assays_both_50_30_ac1_av,Semantically-Joinable,1.0,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","['assay_id', 'bao_format', 'assay_tissue', 'cell_id', 'curated_by', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_assay_cell_type', 'assays_assay_tissue', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_curated_by', 'assays_src_id']",0 days 00:01:31.969094,0.55,0.6,0.5
49,ChEMBL,assays_vertical_70_ac4_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['assay_id', 'description', 'curated_by', 'assay_tax_id', 'src_assay_id', 'assay_type', 'assay_strain', 'bao_format', 'doc_id', 'assay_subcellular_fraction', 'cell_id', 'src_id', 'chembl_id', 'assay_cell_type', 'assay_category', 'assay_organism', 'assay_test_type', 'assay_tissue', 'tid']","['assays_ASI', 'assays_CHEI', 'assays_Desc', 'assays_DI', 'assays_ASSCT', 'assays_CI', 'assays_ASORG', 'assays_ASSTI', 'assays_TII', 'assays_BFOR', 'assays_CONFISCO', 'assays_RELTY', 'assays_ASSUBCFRAC', 'assays_ASSTY', 'assays_CUB', 'assays_ASSSTR', 'assays_SI']",,0.13,0.07,1.0
52,ChEMBL,assays_both_50_50_ac4_av,Semantically-Joinable,1.0,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['assay_id', 'cell_id', 'bao_format', 'assay_tissue', 'src_assay_id', 'assay_strain', 'chembl_id', 'assay_subcellular_fraction', 'assay_type', 'variant_id', 'tid', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['assays_CHEI', 'assays_ASSI', 'assays_Ti', 'assays_ASSCTY', 'assays_ASTI', 'assays_TII', 'assays_CEI', 'assays_BFO', 'assays_CONFSCO', 'assays_RELATITY', 'assays_AST', 'assays_CUB', 'assays_ASSSUBCELFRA', 'assays_ASSTR', 'assays_SRI']",0 days 00:01:27.696559,0.2,0.11,1.0
53,ChEMBL,assays_vertical_50_ac5_av,Semantically-Joinable,1.0,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'doc_id', 'assay_category', 'assay_tax_id', 'assay_cell_type', 'assay_tissue', 'assay_type', 'assay_strain', 'bao_format', 'tissue_id', 'description', 'assay_test_type', 'assay_organism', 'tid', 'relationship_type', 'confidence_score']","['assays_chmbl_d', 'assays_ss_d', 'assays_dc_d', 'assays_cll_d', 'assays_ss_cll_tp', 'assays_ss_tx_d', 'assays_ss_tss', 'assays_tss_d', 'assays_b_frmt', 'assays_ss_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_ss_strn', 'assays_src_d']",,0.0,0.0,0.0
61,ChEMBL,assays_vertical_70_ac1_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","['assay_id', 'tid', 'assay_test_type', 'bao_format', 'cell_id', 'assay_cell_type', 'description', 'assay_category', 'src_assay_id', 'relationship_type', 'curated_by', 'assay_type', 'assay_tax_id', 'chembl_id', 'variant_id', 'tissue_id', 'doc_id', 'assay_organism', 'assay_strain']","['assays_assay_id', 'assays_chembl_id', 'assays_description', 'assays_tid', 'assays_assay_cell_type', 'assays_cell_id', 'assays_assay_tax_id', 'assays_tissue_id', 'assays_assay_tissue', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_assay_test_type', 'assays_curated_by', 'assays_src_id']",0 days 00:01:36.640087,0.73,0.62,0.89
69,ChEMBL,assays_vertical_30_ac3_av,Semantically-Joinable,1.0,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'confidence_score', 'tissue_id', 'variant_id', 'relationship_type', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['chmbl_d', 'ss_d', 'td', 'cll_d', 'ss_cll_tp', 'ss_tss', 'tss_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'src_d']",,0.0,0.0,0.0
79,ChEMBL,assays_both_50_50_ac2_av,Semantically-Joinable,1.0,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'curated_by', 'chembl_id', 'cell_id', 'assay_category', 'tid', 'tissue_id', 'assay_type', 'variant_id', 'description', 'doc_id', 'assay_test_type', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['ASSI', 'CHEI', 'Descri', 'T', 'ASSORGA', 'TII', 'CI', 'BAFO', 'CONFSCO', 'RELT', 'ASSTY', 'CUB', 'ASSSUBCEFR', 'SI']",,0.62,0.44,1.0
